grid_id,lat,lon,elevation,temp,rh,wind_speed
GRID_070,18.2429,99.4964,251.0,28.5,65.0,5.2
GRID_071,18.2429,99.5071,257.0,28.5,65.0,5.2
GRID_072,18.2429,99.5179,264.0,28.5,65.0,5.2
GRID_073,18.2429,99.5286,279.0,28.5,65.0,5.2
GRID_074,18.2429,99.5393,316.0,28.5,65.0,5.2
GRID_075,18.2429,99.55,414.0,28.5,65.0,5.2
GRID_076,18.2536,99.4,234.0,28.5,65.0,5.2
GRID_077,18.2536,99.4107,230.0,28.5,65.0,5.2
GRID_078,18.2536,99.4214,228.0,28.5,65.0,5.2
GRID_079,18.2536,99.4321,227.0,28.5,65.0,5.2
GRID_080,18.2536,99.4429,235.0,28.5,65.0,5.2
GRID_081,18.2536,99.4536,232.0,28.5,65.0,5.2
GRID_082,18.2536,99.4643,232.0,28.5,65.0,5.2
GRID_083,18.2536,99.475,239.0,28.5,65.0,5.2
GRID_084,18.2536,99.4857,240.0,28.5,65.0,5.2
GRID_085,18.2536,99.4964,247.0,28.5,65.0,5.2
GRID_086,18.2536,99.5071,250.0,28.5,65.0,5.2
GRID_087,18.2536,99.5179,262.0,28.5,65.0,5.2
GRID_088,18.2536,99.5286,281.0,28.5,65.0,5.2
GRID_089,18.2536,99.5393,300.0,28.5,65.0,5.2
GRID_090,18.2536,99.55,328.0,28.5,65.0,5.2
GRID_091,18.2643,99.4,236.0,28.5,65.0,5.2
GRID_092,18.2643,99.4107,234.0,28.5,65.0,5.2
GRID_093,18.2643,99.4214,231.0,28.5,65.0,5.2
GRID_094,18.2643,99.4321,228.0,28.5,65.0,5.2
GRID_095,18.2643,99.4429,228.0,28.5,65.0,5.2
GRID_096,18.2643,99.4536,232.0,28.5,65.0,5.2
GRID_097,18.2643,99.4643,234.0,28.5,65.0,5.2
GRID_098,18.2643,99.475,234.0,28.5,65.0,5.2
GRID_099,18.2643,99.4857,236.0,28.5,65.0,5.2
GRID_100,18.2643,99.4964,242.0,28.5,65.0,5.2
GRID_101,18.2643,99.5071,247.0,28.5,65.0,5.2
GRID_102,18.2643,99.5179,258.0,28.5,65.0,5.2
GRID_103,18.2643,99.5286,267.0,28.5,65.0,5.2
GRID_104,18.2643,99.5393,283.0,28.5,65.0,5.2
GRID_105,18.2643,99.55,344.0,28.5,65.0,5.2
GRID_106,18.275,99.4,240.0,28.5,65.0,5.2
GRID_107,18.275,99.4107,237.0,28.5,65.0,5.2
GRID_108,18.275,99.4214,232.0,28.5,65.0,5.2
GRID_109,18.275,99.4321,230.0,28.5,65.0,5.2
GRID_110,18.275,99.4429,232.0,28.5,65.0,5.2
GRID_111,18.275,99.4536,232.0,28.5,65.0,5.2
GRID_112,18.275,99.4643,232.0,28.5,65.0,5.2
GRID_113,18.275,99.475,236.0,28.5,65.0,5.2
GRID_114,18.275,99.4857,235.0,28.5,65.0,5.2
GRID_115,18.275,99.4964,240.0,28.5,65.0,5.2
GRID_116,18.275,99.5071,245.0,28.5,65.0,5.2
GRID_117,18.275,99.5179,252.0,28.5,65.0,5.2
GRID_118,18.275,99.5286,264.0,28.5,65.0,5.2
GRID_119,18.275,99.5393,282.0,28.5,65.0,5.2
GRID_120,18.275,99.55,332.0,28.5,65.0,5.2
GRID_121,18.2857,99.4,242.0,28.5,65.0,5.2
GRID_122,18.2857,99.4107,237.0,28.5,65.0,5.2
GRID_123,18.2857,99.4214,234.0,28.5,65.0,5.2
GRID_124,18.2857,99.4321,232.0,28.5,65.0,5.2
GRID_125,18.2857,99.4429,234.0,28.5,65.0,5.2
GRID_126,18.2857,99.4536,232.0,28.5,65.0,5.2
GRID_127,18.2857,99.4643,231.0,28.5,65.0,5.2
GRID_128,18.2857,99.475,240.0,28.5,65.0,5.2
GRID_129,18.2857,99.4857,238.0,28.5,65.0,5.2
GRID_130,18.2857,99.4964,239.0,28.5,65.0,5.2
GRID_131,18.2857,99.5071,242.0,28.5,65.0,5.2
GRID_132,18.2857,99.5179,254.0,28.5,65.0,5.2
GRID_133,18.2857,99.5286,256.0,28.5,65.0,5.2
GRID_134,18.2857,99.5393,275.0,28.5,65.0,5.2
GRID_135,18.2857,99.55,339.0,28.5,65.0,5.2
GRID_136,18.2964,99.4,242.0,28.5,65.0,5.2
GRID_137,18.2964,99.4107,239.0,28.5,65.0,5.2
GRID_138,18.2964,99.4214,243.0,28.5,65.0,5.2
GRID_139,18.2964,99.4321,236.0,28.5,65.0,5.2
GRID_140,18.2964,99.4429,236.0,28.5,65.0,5.2
GRID_141,18.2964,99.4536,233.0,28.5,65.0,5.2
GRID_142,18.2964,99.4643,234.0,28.5,65.0,5.2
GRID_143,18.2964,99.475,235.0,28.5,65.0,5.2
GRID_144,18.2964,99.4857,236.0,28.5,65.0,5.2
GRID_145,18.2964,99.4964,237.0,28.5,65.0,5.2
GRID_146,18.2964,99.5071,242.0,28.5,65.0,5.2
GRID_147,18.2964,99.5179,250.0,28.5,65.0,5.2
GRID_148,18.2964,99.5286,258.0,28.5,65.0,5.2
GRID_149,18.2964,99.5393,269.0,28.5,65.0,5.2
GRID_150,18.2964,99.55,302.0,28.5,65.0,5.2
GRID_151,18.3071,99.4,254.0,28.5,65.0,5.2
GRID_152,18.3071,99.4107,246.0,28.5,65.0,5.2
GRID_153,18.3071,99.4214,252.0,28.5,65.0,5.2
GRID_154,18.3071,99.4321,236.0,28.5,65.0,5.2
GRID_155,18.3071,99.4429,237.0,28.5,65.0,5.2
GRID_156,18.3071,99.4536,236.0,28.5,65.0,5.2
GRID_157,18.3071,99.4643,239.0,28.5,65.0,5.2
GRID_158,18.3071,99.475,248.0,28.5,65.0,5.2
GRID_159,18.3071,99.4857,240.0,28.5,65.0,5.2
GRID_160,18.3071,99.4964,239.0,28.5,65.0,5.2
GRID_161,18.3071,99.5071,236.0,28.5,65.0,5.2
GRID_162,18.3071,99.5179,239.0,28.5,65.0,5.2
GRID_163,18.3071,99.5286,255.0,28.5,65.0,5.2
GRID_164,18.3071,99.5393,258.0,28.5,65.0,5.2
GRID_165,18.3071,99.55,268.0,28.5,65.0,5.2
GRID_166,18.3179,99.4,257.0,28.5,65.0,5.2
GRID_167,18.3179,99.4107,257.0,28.5,65.0,5.2
GRID_168,18.3179,99.4214,245.0,28.5,65.0,5.2
GRID_169,18.3179,99.4321,244.0,28.5,65.0,5.2
GRID_170,18.3179,99.4429,238.0,28.5,65.0,5.2
GRID_171,18.3179,99.4536,238.0,28.5,65.0,5.2
